item_id,brand_name,item_name,type,capacity,price,available,image,image_path,mrp
1,LG,LED TV,Television,55 inch,45000,TRUE,lg_tv_55.jpg,Television\LED_TV,50000
2,Samsung,Refrigerators,Home Appliances,265 liter,35000,TRUE,Samsung_fefrigerators_265.jpg,Home_Appliances,38000
3,Sony,OLED,Television,65 inch,95000,TRUE,sony_oled_65.jpg,Television\OLED,100000
4,Whirlpool,Washing Machine,Home Appliances,7 kg,28000,TRUE,whirlpool_wash_7kg.jpg,Home_Appliances,30000
5,Haier,AC,Cooling Appliance,1.5 Ton,32000,TRUE,haier_ac_1.5ton.jpg,Cooling_Appliance,33000
6,Bosch,Washing Machine,Home Appliances,6.5 kg,31000,TRUE,bosch_wash_6.5kg.jpg,Home_Appliances,33000
7,Panasonic,LED TV,Television,43 inch,33000,TRUE,panasonic_led_43.jpg,Television\LED_TV,35000
8,Goodrej,Refrigerators,Home Appliances,190 liter,24000,TRUE,goodrej_fridge_190.jpg,Home_Appliances,25000
9,Voltas,AC,Cooling Appliance,2 Ton,37000,TRUE,voltas_ac_2ton.jpg,Cooling_Appliance,40000
10,Sony,Speaker,Audio,30W,15000,TRUE,sony_speaker_30w.jpg,Audio\Speaker,25000
11,LG,Washing Machine,Home Appliances,6 kg,26000,TRUE,lg_wm_6kg.jpg,Home_Appliances,30000
12,Samsung,OLED,Television,65 inch,88000,TRUE,samsung_oled_65.jpg,Television\OLED,90000
13,Whirlpool,Refrigerator,Home Appliances,340 liter,37000,TRUE,whirlpool_fridge_340.jpg,Home_Appliances,40000
14,Bosch,AC,Cooling Appliance,1 Ton,29500,TRUE,bosch_ac_1ton.jpg,Cooling_Appliance,31000
15,Panasonic,Speaker,Audio,50W,10000,TRUE,panasonic_speaker_50w.jpg,Audio\Speaker,12000
16,Haier,Washing Machine,Home Appliances,8 kg,32000,TRUE,haier_wm_8kg.jpg,Home_Appliances,33000
17,Sony,LED TV,Television,50 inch,54000,TRUE,sony_led_50.jpg,Television\LED_TV,55000
18,Voltas,AC,Cooling Appliance,1.5 Ton,34000,TRUE,voltas_ac_1.5ton.jpg,Cooling_Appliance,35000
19,Goodrej,Refrigerator,Home Appliances,200 liter,26000,TRUE,goodrej_fridge_200.jpg,Home_Appliances,30000
20,LG,Speaker,Audio,20W,8000,TRUE,lg_speaker_20w.jpg,Audio\Speaker,9000
21,Samsung,LED TV,Television,32 inch,23000,TRUE,samsung_led_32.jpg,Television\LED_TV,25000
22,Whirlpool,AC,Cooling Appliance,2 Ton,36000,TRUE,whirlpool_ac_2ton.jpg,Cooling_Appliance,38000
23,Bosch,Washing Machine,Home Appliances,7.5 kg,33500,TRUE,bosch_wm_7.5kg.jpg,Home_Appliances,34500
24,Panasonic,Refrigerator,Home Appliances,310 liter,34500,TRUE,panasonic_fridge_310.jpg,Home_Appliances,35500
25,Sony,OLED,Television,77 inch,135000,TRUE,sony_oled_77.jpg,Television\OLED,145000
26,Haier,LED TV,Television,40 inch,28000,TRUE,haier_led_40.jpg,Television\LED_TV,29000
27,Goodrej,Speaker,Audio,25W,7000,TRUE,goodrej_speaker_25w.jpg,Audio\Speaker,8000
28,Voltas,Refrigerator,Home Appliances,275 liter,29500,TRUE,voltas_fridge_275.jpg,Home_Appliances,31000
29,LG,OLED,Television,55 inch,74000,TRUE,lg_oled_55.jpg,Television\OLED,80000
30,Samsung,Speaker,Audio,60W,12000,TRUE,samsung_speaker_60w.jpg,Audio\Speaker,13000
31,CP Plus,CCTV,Security,8C,12000,TRUE,CPPlus_cctv_8c.jpg,CCTV,14600
32,CP Plus,CCTV,Security,12C,16000,TRUE,CPPlus_cctv_12c.jpg,CCTV,18600
33,CP Plus,CCTV,Security,16C,30000,TRUE,CPPlus_cctv_16c.jpg,CCTV,32900
34,Kent,RO,Water Purifier,Grand Plus RO Purifier 8 Litre,14500,TRUE,kent_grand_plus.jpg,WaterPurifier,16000
35,Hevells,RO,Water Purifier,UV Plus Purifier 7 Litre,12500,TRUE,hevells_uv_plus.jpg,WaterPurifier,13999
36,Aquaguard,RO,Water Purifier,Aura RO+UV+MTDS  8 Litre,15999,TRUE,aquaguard_aura.jpg,WaterPurifier,18000
37,Pureit,RO,Water Purifier,Copper+ Eco Mineral RO+UV 10 Litre,17000,TRUE,pureit_copper_plus.jpg,WaterPurifier,19000
38,Kent,RO,Water Purifier,Maxx UV+UF 7 Litre,9500,TRUE,kent_maxx_uv.jpg,WaterPurifier,10500
39,Hevells,RO,Water Purifier,Digiplus RO+UV+UF 8 Litre,16500,TRUE,hevells_digiplus.jpg,WaterPurifier,18000
39,Aquaguard,RO,Water Purifier,Enhance RO+UV 7 Litre,14000,TRUE,aquaguard_enhance.jpg,WaterPurifier,15500
40,Pureit,RO,Water Purifier,Ultima RO+UV 10 Litre,18500,TRUE,pureit_ultima.jpg,WaterPurifier,20000
41,Kent,RO,Water Purifier,Copper RO+UV+UF 9 Litre,17500,TRUE,kent_copper_ro.jpg,WaterPurifier,19000
42,Hevells,RO,Water Purifier,Active Plus UV Purifier 6 Litre,9900,TRUE,hevells_active_uv.jpg,WaterPurifier,11000
